Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	Fuel Flow  (L/hr)	RPM	Thrust (N)
329.625	23.726	23.440	23.152	23.752	0.016	0.002	0.083	0.025	0.009	2.032	0.045
329.824	23.693	23.560	23.542	24.211	0.017	0.009	0.085	0.023	0.009	6.050	0.966
330.025	23.763	23.501	22.754	23.825	0.016	-0.011	0.071	0.023	0.010	5.638	1.016
330.225	23.688	23.624	23.806	23.646	0.017	-0.004	0.090	0.023	0.009	4.757	1.147
330.426	23.732	23.668	22.941	24.150	0.017	0.011	0.072	0.024	0.009	6.705	1.087
330.627	23.760	23.500	22.924	23.631	0.016	-0.012	0.079	0.024	0.010	5.573	0.544
330.826	23.763	23.501	23.377	23.937	0.017	0.001	0.083	0.023	0.010	6.196	1.301
331.026	23.756	23.565	23.402	23.625	0.017	-0.013	0.086	0.023	0.010	5.961	1.136
331.227	23.685	23.618	22.945	24.142	0.017	0.001	0.086	0.024	0.009	5.040	0.939
331.427	23.783	23.561	23.171	23.610	0.016	-0.002	0.077	0.025	0.010	7.368	1.125
331.628	23.650	23.483	23.562	24.096	0.016	-0.004	0.089	0.024	0.009	2.282	0.253
331.829	23.619	23.573	23.460	24.138	0.017	0.008	0.094	0.025	0.009	1.506	0.418
332.029	23.722	23.578	22.923	23.793	0.017	0.003	0.082	0.023	0.010	5.751	0.966
332.229	23.632	23.498	22.924	24.287	0.017	-0.015	0.086	0.023	0.009	2.743	0.391
332.429	23.742	23.534	23.085	23.366	0.016	-0.009	0.080	0.024	0.009	4.886	1.060
332.630	23.690	23.602	23.656	23.438	0.017	-0.005	0.092	0.022	0.009	4.862	1.410
332.830	23.775	23.546	23.426	23.505	0.017	-0.015	0.079	0.025	0.010	5.355	1.120
333.031	23.659	23.568	23.486	23.958	0.017	-0.008	0.086	0.022	0.009	4.280	0.939
333.230	23.642	23.580	23.653	23.946	0.017	-0.008	0.094	0.024	0.009	3.552	0.944
333.430	23.640	23.569	23.643	23.787	0.017	0.001	0.092	0.025	0.009	2.234	0.094
333.630	23.728	23.501	23.112	23.823	0.017	-0.002	0.076	0.023	0.009	5.864	1.213
333.831	23.715	23.479	23.821	23.897	0.016	0.003	0.084	0.025	0.009	1.296	0.237
334.031	23.761	23.559	24.050	23.546	0.017	-0.004	0.078	0.025	0.009	4.991	1.142
334.232	23.738	23.445	23.578	23.887	0.016	-0.010	0.071	0.024	0.009	3.334	0.144
334.434	23.656	23.585	23.331	23.475	0.017	0.015	0.093	0.024	0.009	3.334	0.703
334.634	23.694	23.583	23.394	23.734	0.017	0.000	0.088	0.025	0.009	3.059	0.796
334.836	23.735	23.655	22.987	23.559	0.017	0.003	0.088	0.024	0.009	5.929	1.268
335.036	23.811	23.519	23.721	23.736	0.017	-0.001	0.081	0.024	0.010	4.037	0.593
335.237	23.827	23.555	23.209	23.991	0.016	-0.004	0.088	0.024	0.010	4.692	0.665
335.436	23.757	23.557	23.559	24.128	0.017	-0.007	0.082	0.024	0.009	5.290	1.038
335.636	23.739	23.656	22.392	24.052	0.017	0.004	0.074	0.023	0.010	3.511	1.136
335.836	23.803	23.546	23.254	23.806	0.016	-0.012	0.083	0.023	0.010	5.509	0.747
336.037	23.757	23.623	23.106	24.113	0.017	0.006	0.082	0.022	0.010	4.514	0.900
336.237	23.738	23.632	23.326	23.754	0.017	0.002	0.078	0.024	0.010	5.387	0.928
336.436	23.780	23.497	23.028	23.449	0.016	-0.010	0.082	0.025	0.010	3.172	0.199
336.636	23.780	23.551	23.305	23.800	0.016	-0.012	0.081	0.024	0.009	4.538	0.462
336.837	23.725	23.625	23.078	23.941	0.017	-0.002	0.082	0.023	0.009	5.856	0.966
337.036	23.752	23.487	23.250	23.668	0.016	-0.004	0.081	0.025	0.009	2.646	0.182
337.237	23.678	23.695	23.184	23.806	0.017	0.003	0.079	0.024	0.009	4.425	1.010
337.436	23.763	23.470	23.392	23.841	0.016	-0.003	0.081	0.023	0.010	4.013	0.550
337.638	23.649	23.606	23.626	23.809	0.017	0.000	0.081	0.022	0.009	4.288	0.983
337.838	23.750	23.617	23.408	23.409	0.017	-0.004	0.094	0.023	0.009	6.317	1.268
338.039	23.686	23.478	23.335	23.532	0.016	0.003	0.090	0.022	0.009	0.827	-0.322
338.238	23.733	23.584	22.934	23.316	0.017	0.003	0.080	0.023	0.009	4.902	1.153
338.439	23.760	23.539	22.919	23.799	0.017	0.006	0.071	0.022	0.009	5.646	1.038
338.640	23.739	23.536	23.333	23.546	0.017	-0.007	0.087	0.023	0.010	5.032	0.725
338.839	23.713	23.471	23.574	24.299	0.016	0.003	0.083	0.024	0.009	-0.030	0.023
339.039	23.662	23.502	23.960	23.710	0.017	-0.011	0.076	0.024	0.009	0.334	0.188
339.239	23.666	23.672	23.043	23.660	0.017	0.004	0.083	0.022	0.009	4.902	0.785
339.439	23.683	23.641	23.601	23.361	0.017	0.005	0.069	0.023	0.009	2.614	0.868
339.639	23.744	23.489	23.428	23.894	0.016	0.005	0.080	0.022	0.009	1.822	0.210
339.841	23.672	23.606	23.795	24.073	0.017	0.001	0.084	0.023	0.009	1.288	0.253
340.040	23.717	23.576	23.681	23.538	0.017	0.005	0.095	0.023	0.009	3.843	1.219
340.241	23.710	23.480	23.739	23.889	0.016	-0.002	0.091	0.023	0.009	1.450	-0.026
340.440	23.706	23.632	23.070	23.890	0.016	-0.011	0.097	0.021	0.009	4.166	0.714
340.640	23.778	23.555	23.387	23.777	0.016	-0.000	0.092	0.024	0.009	5.581	0.517
340.840	23.713	23.651	23.582	23.574	0.017	-0.008	0.080	0.022	0.009	5.088	1.197
341.041	23.790	23.515	23.326	24.057	0.017	0.001	0.081	0.023	0.010	4.215	0.654
341.240	23.676	23.582	23.328	24.070	0.017	0.013	0.085	0.022	0.009	2.185	0.709
341.441	23.738	23.475	23.495	23.687	0.016	-0.009	0.081	0.023	0.009	1.870	0.237
341.640	23.757	23.463	22.790	23.692	0.016	-0.000	0.083	0.023	0.009	2.161	-0.202
341.841	23.767	23.597	22.798	23.910	0.017	0.002	0.072	0.022	0.009	5.153	1.142
342.041	23.792	23.510	23.472	23.825	0.017	-0.007	0.085	0.024	0.009	2.962	0.149
342.242	23.748	23.471	23.138	23.846	0.016	-0.000	0.095	0.024	0.009	2.840	-0.174
342.443	23.675	23.631	23.031	24.133	0.017	-0.004	0.090	0.024	0.009	3.358	0.676
342.643	23.694	23.566	23.639	24.051	0.017	-0.004	0.096	0.024	0.009	1.369	0.253
342.843	23.709	23.593	23.755	23.461	0.017	0.001	0.080	0.024	0.009	3.972	0.868
343.042	23.796	23.499	22.908	23.607	0.016	-0.007	0.091	0.025	0.009	2.784	-0.021
343.242	23.754	23.514	23.497	24.003	0.016	0.001	0.093	0.024	0.009	3.681	-0.114
343.442	23.710	23.617	23.315	24.271	0.017	-0.008	0.082	0.023	0.009	3.875	0.890
343.644	23.646	23.521	23.562	24.028	0.016	0.019	0.088	0.024	0.009	0.455	0.078
343.843	23.718	23.622	23.518	24.117	0.017	0.002	0.086	0.024	0.009	5.614	1.120
344.043	23.706	23.660	23.896	23.448	0.017	0.007	0.081	0.025	0.009	2.816	0.796
344.244	23.746	23.583	23.429	23.903	0.017	0.003	0.081	0.024	0.009	3.730	0.928
344.443	23.668	23.505	22.853	23.800	0.016	-0.002	0.079	0.023	0.009	0.552	-0.289
344.643	23.658	23.596	23.237	23.782	0.017	0.000	0.088	0.024	0.009	2.921	0.544
344.844	23.676	23.455	23.548	23.691	0.016	-0.011	0.082	0.023	0.009	1.142	-0.300
345.044	23.668	23.591	23.753	23.587	0.017	-0.001	0.087	0.024	0.009	4.061	0.950
345.246	23.703	23.429	23.210	23.654	0.016	0.001	0.081	0.025	0.009	1.053	-0.032
345.446	23.746	23.469	22.791	23.849	0.016	0.002	0.077	0.024	0.009	1.870	0.111
345.647	23.746	23.472	23.412	23.399	0.016	-0.005	0.083	0.024	0.010	2.137	0.380
345.847	23.655	23.610	23.366	23.419	0.017	0.005	0.076	0.024	0.009	2.096	0.994
346.047	23.736	23.533	23.669	23.858	0.016	0.005	0.085	0.023	0.009	2.468	0.116
346.247	23.658	23.636	22.781	24.019	0.017	0.018	0.081	0.022	0.009	1.911	0.741
346.448	23.770	23.501	23.000	23.739	0.016	-0.006	0.070	0.024	0.010	2.113	-0.037
346.649	23.752	23.447	22.838	24.156	0.016	-0.004	0.076	0.026	0.010	2.760	-0.202
346.848	23.788	23.491	22.996	23.434	0.017	-0.004	0.083	0.023	0.010	4.231	0.270
347.050	23.685	23.578	23.582	24.024	0.016	-0.000	0.077	0.023	0.009	0.568	0.385
347.249	23.807	23.522	23.320	23.648	0.016	-0.001	0.074	0.025	0.010	4.951	0.555
347.450	23.752	23.532	23.190	23.572	0.016	-0.009	0.075	0.024	0.010	2.105	-0.191
347.650	23.696	23.617	23.851	23.718	0.017	-0.000	0.077	0.023	0.009	2.258	0.621
347.852	23.799	23.580	23.099	23.916	0.017	-0.003	0.078	0.024	0.010	3.568	0.610
348.051	23.700	23.632	23.079	23.987	0.017	0.005	0.090	0.024	0.009	1.749	0.785
348.252	23.820	23.543	23.948	23.840	0.016	-0.001	0.080	0.024	0.010	4.207	0.528
348.451	23.738	23.481	23.039	23.667	0.016	-0.010	0.089	0.024	0.009	1.264	-0.081
348.651	23.751	23.613	23.633	24.105	0.017	0.011	0.083	0.023	0.010	5.120	0.966
348.853	23.670	23.610	23.190	23.971	0.016	0.009	0.096	0.025	0.010	1.870	0.440
349.053	23.709	23.621	23.292	23.904	0.017	0.003	0.081	0.024	0.009	3.641	1.317
349.253	23.694	23.657	23.038	24.122	0.017	0.001	0.097	0.025	0.009	2.679	1.081
349.453	23.747	23.673	22.774	23.061	0.016	-0.005	0.090	0.024	0.009	4.409	1.290
349.654	23.736	23.601	23.466	23.687	0.017	0.002	0.072	0.024	0.009	4.449	0.983
349.853	23.742	23.658	23.243	23.658	0.017	-0.002	0.080	0.024	0.009	3.762	1.109
350.054	23.791	23.546	23.053	23.717	0.016	-0.007	0.083	0.024	0.010	4.902	0.610
350.253	23.670	23.641	23.373	23.316	0.017	-0.002	0.077	0.024	0.009	4.474	1.043
350.453	23.741	23.423	23.576	24.150	0.017	-0.001	0.081	0.026	0.010	0.730	-0.081
350.653	23.691	23.482	22.975	24.309	0.017	-0.003	0.080	0.024	0.009	0.787	-0.109
350.853	23.757	23.439	23.234	23.692	0.016	-0.007	0.079	0.022	0.010	3.746	0.127
351.053	23.727	23.408	23.027	23.548	0.016	0.002	0.066	0.025	0.010	2.501	-0.081
351.254	23.765	23.494	23.390	23.838	0.016	-0.012	0.072	0.024	0.010	3.358	0.434
351.454	23.779	23.501	23.004	23.803	0.016	-0.011	0.071	0.025	0.010	2.291	-0.109
351.655	23.655	23.525	23.384	23.650	0.016	0.010	0.090	0.023	0.009	0.245	-0.004
351.856	23.748	23.472	23.534	23.533	0.016	-0.005	0.085	0.025	0.010	3.536	0.577
352.055	23.660	23.516	23.723	24.147	0.016	-0.009	0.085	0.024	0.009	0.124	0.188
352.255	23.778	23.551	23.379	24.039	0.017	-0.006	0.087	0.023	0.010	2.994	1.060
352.456	23.694	23.588	23.383	23.742	0.017	-0.006	0.078	0.024	0.009	2.679	1.054
352.656	23.675	23.615	23.114	23.858	0.016	0.003	0.089	0.022	0.010	3.495	1.389
352.855	23.636	23.548	23.765	23.850	0.016	-0.000	0.084	0.025	0.009	1.345	0.319
353.055	23.712	23.604	23.721	23.785	0.017	0.001	0.079	0.024	0.010	4.563	1.202
353.255	23.736	23.442	23.075	23.736	0.017	-0.009	0.080	0.025	0.010	2.250	0.632
353.456	23.650	23.545	23.271	23.988	0.017	0.009	0.088	0.024	0.009	3.786	1.389
353.655	23.631	23.474	23.139	24.080	0.017	0.004	0.098	0.024	0.009	1.175	0.089
353.856	23.648	23.476	23.263	24.021	0.016	0.002	0.089	0.023	0.009	1.029	0.451
354.056	23.610	23.559	23.554	23.916	0.016	0.014	0.076	0.026	0.009	3.156	1.114
354.256	23.667	23.563	23.469	24.025	0.017	0.011	0.083	0.023	0.009	3.770	1.169
