Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	Fuel Flow  (L/hr)	RPM	Thrust (N)
257.596	41.127	40.965	58.058	39.926	0.018	0.623	0.464	0.044	0.010	6.519	15.455
257.797	41.085	40.914	58.365	39.856	0.018	0.613	0.451	0.046	0.010	4.441	15.170
257.997	41.084	40.923	58.589	39.977	0.018	0.614	0.455	0.045	0.010	3.131	14.709
258.197	41.105	40.798	57.991	39.703	0.018	0.620	0.452	0.046	0.010	4.619	14.638
258.397	41.047	40.801	58.487	39.868	0.018	0.615	0.459	0.046	0.010	3.350	14.737
258.598	41.095	40.809	58.379	39.806	0.018	0.626	0.466	0.046	0.010	4.409	14.786
258.797	41.009	40.868	58.995	39.937	0.018	0.603	0.456	0.047	0.009	3.075	15.088
258.999	41.109	40.874	58.222	39.730	0.018	0.615	0.454	0.046	0.010	6.932	15.274
259.199	41.149	40.856	58.750	39.732	0.018	0.625	0.452	0.048	0.010	7.223	15.729
259.399	41.026	40.881	58.290	39.905	0.018	0.626	0.452	0.046	0.010	4.207	14.945
259.601	41.118	40.931	58.018	40.198	0.018	0.621	0.455	0.045	0.010	6.010	15.482
259.800	40.994	40.823	58.794	40.425	0.018	0.618	0.467	0.046	0.010	3.714	14.813
260.001	41.148	40.828	58.062	40.491	0.018	0.613	0.454	0.046	0.010	6.075	14.934
260.201	41.047	40.874	58.613	40.176	0.018	0.622	0.448	0.045	0.010	8.258	15.790
260.402	41.038	40.836	58.777	40.406	0.018	0.620	0.456	0.047	0.010	4.894	15.049
260.601	41.005	40.885	58.439	39.583	0.018	0.618	0.457	0.046	0.010	4.474	15.680
260.802	41.143	40.896	58.240	39.861	0.018	0.615	0.458	0.046	0.010	8.783	15.680
261.002	41.126	40.830	58.629	40.226	0.018	0.626	0.445	0.046	0.010	6.002	15.186
261.203	41.050	40.820	58.496	40.716	0.018	0.602	0.452	0.046	0.010	4.029	15.104
261.403	41.073	40.896	58.672	39.715	0.018	0.615	0.458	0.046	0.010	7.223	15.740
261.603	40.989	40.882	58.705	40.525	0.018	0.626	0.455	0.046	0.010	5.209	15.285
261.803	40.993	40.893	58.626	40.188	0.018	0.620	0.464	0.045	0.010	4.271	15.318
262.003	41.097	40.858	58.317	40.194	0.018	0.615	0.449	0.046	0.010	7.376	14.852
262.203	41.042	40.868	58.845	40.149	0.018	0.623	0.460	0.045	0.010	3.544	14.534
262.403	41.028	40.799	58.252	39.997	0.018	0.616	0.456	0.046	0.010	4.296	14.731
262.603	41.093	40.882	58.666	40.231	0.018	0.623	0.448	0.046	0.010	6.859	15.691
262.804	40.982	40.842	58.346	40.400	0.018	0.615	0.451	0.047	0.010	4.441	14.994
263.004	41.057	40.773	58.018	40.103	0.018	0.618	0.456	0.046	0.010	3.423	14.956
263.205	41.155	40.856	58.451	39.744	0.018	0.617	0.456	0.045	0.010	7.037	15.548
263.404	41.042	40.800	58.923	40.004	0.018	0.614	0.460	0.047	0.010	5.371	15.005
263.605	41.082	40.891	58.533	39.619	0.018	0.602	0.447	0.047	0.010	8.136	15.960
263.806	41.089	40.892	58.215	40.130	0.018	0.624	0.455	0.047	0.010	7.684	15.642
264.005	41.004	40.823	58.405	39.753	0.018	0.622	0.458	0.047	0.010	4.991	15.033
264.206	41.011	40.892	58.491	39.886	0.018	0.625	0.451	0.047	0.010	4.749	15.049
264.407	41.130	40.814	58.031	40.342	0.018	0.611	0.443	0.046	0.010	7.142	15.433
264.607	41.022	40.869	57.994	39.539	0.018	0.620	0.462	0.046	0.010	6.058	15.658
264.807	41.125	40.813	58.345	39.694	0.018	0.603	0.462	0.046	0.010	7.021	14.874
265.007	41.055	40.946	58.934	39.636	0.018	0.615	0.460	0.046	0.010	5.541	15.510
265.207	41.063	40.807	58.270	40.024	0.018	0.609	0.458	0.047	0.010	4.118	14.633
265.407	41.092	40.744	58.254	40.141	0.018	0.619	0.449	0.045	0.010	5.347	14.874
265.607	41.129	40.773	58.424	40.144	0.018	0.619	0.446	0.047	0.010	6.164	14.983
265.809	41.076	40.873	58.379	39.927	0.018	0.619	0.463	0.046	0.010	6.770	15.707
266.010	41.078	40.889	58.663	39.886	0.018	0.631	0.458	0.047	0.010	6.042	15.888
266.209	41.044	40.870	58.553	39.487	0.018	0.621	0.456	0.048	0.010	7.012	15.795
266.409	41.135	40.849	58.318	40.411	0.018	0.615	0.459	0.046	0.010	6.818	15.762
266.610	41.029	40.856	58.652	39.917	0.018	0.624	0.461	0.047	0.010	4.142	15.060
