Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
#, ND, [in], [psia], [R], [slug/ft3], [slug/ft s], [RPM], [deg], [dpsi], [ft/s], ND, [Lbf], [Lbf], [in-Lbf]
,,,,,,,,,,,,,,
1,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-4.022565892,-1.84908E-06,0.485337287,598.0606079,-0.015192016,-0.171261893,-0.470075608
2,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-1.990052457,-3.27347E-05,2.042063236,2516.348145,0.00516591,-0.170659415,-0.46786026
3,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-0.028640758,-4.76392E-05,2.463472128,3035.632568,0.01375593,-0.169699546,-0.465069332
4,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,2.06363362,-2.78908E-05,1.884932399,2322.722412,0.031842641,-0.170278314,-0.462929328
5,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,4.029658061,8.3406E-05,3.259596348,4016.662842,0.042531186,-0.171943256,-0.461341463
6,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,5.974392922,-1.77981E-05,1.505747437,1855.468872,0.061028901,-0.170308896,-0.457973601
7,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,8.012215106,-4.61045E-05,2.423467398,2986.336426,0.077644585,-0.168215171,-0.454518481
8,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,10.03114961,-2.02653E-05,1.606726885,1979.901611,0.091670415,-0.168044159,-0.450870196
9,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,11.97379646,0.000207454,5.140752316,6334.731934,0.106670732,-0.165797153,-0.449370654
10,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,14.05028106,-0.000109474,3.734405041,4601.749512,0.121693384,-0.162876969,-0.44192954
11,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,16.00349081,0.000276942,5.939630985,7319.15625,0.140406724,-0.161962448,-0.439753376
12,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,18.08376933,0.000716768,9.55552578,11774.87012,0.148392953,-0.160626532,-0.433278606
13,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,20.05241403,0.00059556,8.710196495,10733.20703,0.166368092,-0.157856188,-0.430016372
14,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,22.01046853,0.00127882,12.76350784,15727.93066,0.181238034,-0.152781824,-0.420027851
