Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
#, ND, [in], [psia], [R], [slug/ft3], [slug/ft s], [RPM], [deg], [dpsi], [ft/s], ND, [Lbf], [Lbf], [in-Lbf]
,,,,,,,,,,,,,,
1,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-3.945868817,0.078531362,100.0200043,123250.4219,-0.002490635,-0.249140392,-0.565865473
2,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-2.046647256,0.078932517,100.2751389,123564.8125,0.021041837,-0.141382681,-0.305154764
3,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,-0.033471855,0.078225032,99.82473755,123009.8047,0.044930608,-0.022864364,-0.013890313
4,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,1.919683308,0.078754637,100.1620865,123425.5078,0.05416524,0.076814285,0.23211644
5,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,4.085488619,0.078460297,99.97473907,123194.6406,0.067484675,0.206677234,0.551163056
6,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,5.944437392,0.073777713,96.94555664,119461.9141,0.075329261,0.329426522,0.83031124
7,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,7.938138287,0.077833058,99.57431793,122701.2188,0.08410921,0.457422546,1.113178867
8,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,10.03293739,0.08008772,101.0062561,124465.7422,0.110090999,0.557172732,1.320407653
9,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,11.97926897,0.078307548,99.87737274,123074.6641,0.119852057,0.583179624,1.359780764
10,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,13.92038733,0.079298364,100.5072556,123850.8438,0.137564564,0.614921566,1.410976085
11,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,15.98291089,0.082301847,102.3929596,126174.5156,0.160502445,0.63637959,1.451309674
12,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,17.91394399,0.079200021,100.4449158,123774.0234,0.168686626,0.6441821,1.475172494
13,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,20.05114484,0.078955937,100.2900162,123583.1484,0.182565515,0.661696875,1.520067925
14,0.95,2.5,14.3857835,533.97,0.002260799,3.8222E-07,0,22.04402691,0.077786692,99.54465485,122664.6719,0.199080879,0.709872958,1.625272459
